treated_idx,control_idx,treated_ps,control_ps,ps_diff
2,95,0.8683148221007251,0.8691230474285716,0.0008082253278465235
3,93,0.6182949706022846,0.6054906410161082,0.012804329586176388
4,53,0.8609147521828823,0.817634986891957,0.043279765290925254
5,33,0.39660245030521274,0.3910882512953839,0.005514199009828857
6,5,0.1888327675964549,0.1648281027516207,0.02400466484483421
7,15,0.6249579207784351,0.6278261401762764,0.0028682193978412096
9,82,0.5660491414513662,0.5792431144182274,0.0131939729668612
12,83,0.6752017218922269,0.6561270899520404,0.01907463194018655
14,32,0.6891343900187651,0.6724116068578674,0.016722783160897703
15,98,0.7656564742834019,0.7591852135266159,0.006471260756785946
17,69,0.7591852135266159,0.7981769925239901,0.03899177899737416
20,35,0.32661671063571845,0.31915553961169224,0.007461171024026214
21,99,0.2694281904306683,0.2627607243032336,0.006667466127434685
23,58,0.41946683845264476,0.4179525854315955,0.0015142530210492389
25,73,0.47274660179955913,0.4711297812821278,0.0016168205174313388
26,60,0.5663997804619881,0.5672500456697125,0.0008502652077243544
27,49,0.46575907662668914,0.4592067201113169,0.006552356515372226
28,41,0.6110973936091486,0.6196855351947226,0.008588141585573972
29,8,0.14846664692573852,0.15116791134439364,0.0027012644186551193
32,29,0.37879541408078954,0.3834774372595154,0.004682023178725847
33,50,0.6549306481494457,0.6496518651131531,0.005278783036292589
34,61,0.4761782507999633,0.4983513648747841,0.02217311407482081
35,51,0.6513864616119395,0.6301187132637001,0.021267748348239413
36,63,0.4375415086777053,0.4372421272296839,0.0002993814480213852
41,90,0.6337820270209646,0.593784157591918,0.039997869429046595
42,75,0.47471488431974773,0.47516022669735986,0.0004453423776121235
44,57,0.5617923719413395,0.545491134113439,0.016301237827900494
46,88,0.8147628428970791,0.7708178118919767,0.043945031005102386
48,68,0.8330160001285674,0.8567540117721271,0.02373801164355971
50,85,0.585804849979015,0.6152842003529786,0.029479350373963542
51,48,0.25448002797941616,0.23394787655390484,0.02053215142551132
54,21,0.6949423412167297,0.6503420911806169,0.04460025003611279
56,17,0.2094489017051329,0.2389056237673232,0.0294567220621903
61,27,0.13716911032708923,0.14255249874787604,0.005383388420786811
62,92,0.4831053305032667,0.4761888913894373,0.006916439113829387
64,74,0.3898628737276226,0.4178759902466052,0.028013116518982584
65,47,0.08708530522887817,0.0843864996558295,0.0026988055730486626
74,6,0.44904433155497026,0.4274803933510621,0.021563938203908173
80,25,0.3747845043060895,0.3773747867890225,0.0025902824829329707
82,78,0.3861790818345804,0.3530921831802742,0.033086898654306196
87,84,0.42879066677286487,0.438323260521764,0.009532593748899143
88,4,0.777112127017369,0.7899629884073321,0.012850861389963164
90,79,0.5283780534724309,0.5348083194791221,0.0064302660066911654
91,94,0.7010487649562311,0.7177576039051687,0.0167088389489376
92,89,0.594953383831467,0.5988765034507286,0.003923119619261617
95,70,0.4861141585611502,0.4504805165357569,0.03563364202539332
96,67,0.586066504141134,0.6196925050477446,0.03362600090661061
98,76,0.2807754895437701,0.2914111189959456,0.010635629452175499
100,65,0.5617923719413395,0.5886076886100877,0.026815316668748257
101,14,0.43928633605520323,0.4549921830970818,0.01570584704187855
102,55,0.6479770553030869,0.6310958977137743,0.016881157589312634
104,45,0.4975933451534156,0.49326215610189283,0.004331189051522744
106,10,0.40105655940153107,0.4147234407902614,0.013666881388730345
107,101,0.25324364990638587,0.23337850865888707,0.019865141247498802
